classification,reason_for_recall,product_description,recall_number
Class II,Lack of Assurance of Sterility: The product lots are being recalled due to laboratory results (from a contract lab) indicating microbial contamination. The FDA was concerned test results obtained from the recalling firm's contract testing lab may not be reliable. Hence the sterility of the products cannot be assured.,"Epinephrine 1:1,000 (1mg/mL) Sterile Solution for injection, Preservative Free/Sulfite Free, 1-mL Single-Use Syringe, Sterile Solution For Office Use Only, JCB Laboratories, Wichita, KS.",D-1047-2013
Class II,Lack of Assurance of Sterility: Bags have the potential to leak.,"Milrinone Lactate Injection 200 mcg (0.2 mg)/mL* in 5% Dextrose Injection, 20 mg/100 mL, 100 mL bag, Rx Only, Hospira, Inc., Lake Forest, IL 60045 USA,  NDC 0409-2776-23, Barcode (01)00304092776233.",D-1487-2019
Class II,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,"METHION/INOSIT/CHOLINE/CYANOCOBAL 25MG/50MG/50MG/1MG/ML (1ML VIAL) INJECTABLE; METHION/INOSIT/CHOLINE/METHYLCOBAL 15MG/50MG/100MG/1MG/ML (1ML VIAL) INJECTABLE; METHION/INOSIT/CHOLINE/RIBOFLA/NIACINAMIDE/PYRIDOX/ASCORBIC ACID 15.625MG/31.25MG/31.25MG/6.25MG/62.5MG/6.25MG/62.5MG/ML (1ML VIAL) INJECTABLE, Rx Only, Pharmacy Innovations, 2936 W 17th St., Erie, PA.",D-0220-2023
Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"Morphine 60 mg/ml Solution, Sterile-Preservative Free, The Compounding Pharmacy of America, Knoxville, TN",D-1612-2015
Class II,Lack of Assurance of Sterility: product sterility cannot be guaranteed.,"C-ALBUMIN 5% OPHTH SOLUTION, 10 mL droptainer bottles, Rx only, Colonia Care Pharmacy, 515 Inman Ave., Suite A, Colonia, N.J. 07067",D-0004-2020
Class II,Lack of Processing Controls.,Gleevec 100 mg tablet NDC 00078-0401-34 30 days supply,D-0782-2018
Class II,Presence of Foreign Tablets/Capsules: Firm received a market complaint stating the presence of one foreign tablet (Montelukast Sodium Chewable Tab 4mg) in the product bottle of Pantoprazole.,"Pantoprazole Sodium Delayed-Release Tablets USP, 40 mg Rx Only, 90 tablets per bottle, Manufactured for Aurobindo Pharma USA, Inc 2400 Route 130 North Dayton, NJ 08810, Manufactured by: Aurobindo Pharma Limited Unit-VII (SE2), Mahaboob Nagar (Dt) - 509302, India , NDC 65862-0560-90",D-1499-2016
Class II,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,"Ketamine 100 mg/ml Injection, compounded by Olympia Pharmacy, Orlando, FL",D-745-2013
Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Roflumilast active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",D-884-2015
Class II,Lack of Assurance of Sterility: There is the potential for the solution to leak from the seal of the fill tube to the bag.,"HEXTEND 6% Hetastarch in Lactated Electrolyte Injection, 500 mL, Rx only , MANUFACTURED AND DISTRIBUTED BY HOSPIRA, INC., LAKE FOREST, IL 60045,  NDC 0409-1555-54",D-184-2013
Class II,Labeling: Label Error on Declared Strength: Assay value on the label is incorrect.,"NYSTATIN 5BU, Activity (as is): 6482 Units/mg, bulk powder container, Rx Only, For Prescription Compounding,  Fagron, Inc. - 2400 Pilot Knob Rd. St Paul, MN 55120. NDC 51552-0041-5 Bar code 3 51552 00415 3",D-0154-2024
Class II,CGMP deviations: Lack of potency testing.,"HUMAN CHORIONIC GONADOTROPIN 1,250 IU per vial Aso contains Mannitol 9%, Sodium Phosphate 2% in water for injection. Lyophilized, Unpreserved. Complete Pharmacy & Medical Solutions 5829 NW 158th St, Miami Lakes, FL 33014 Tel: 305-397-2035",D-0237-2021
Class II,CGMP deviations: the bulk product was rejected by the Quality Unit after routine inspection of the mixing vessel showed scratches on the sides and bottom of the mixing vessel. Product was to be rejected but was inadvertently released and shipped to customers.,"Gelato, Benzocaine 20% Topical Gel Anesthetic Gel, Net Wt. 1 oz. (30ml), Manufactured by Keystone Industries 480 S. Democrat Rd., Gibbstown, NJ 08027, NDC# 68400-352-30.",D-0137-2025
Class II,Lack of Sterility Assurance: All lots of sterile products compounded by the pharmacy that are not expired due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,"CEFTAZIDIME, 2.25mg/0.1mL, Injectable, 0.2 mL plastic syringe, RX, Creative Compounds, Wilsonville, OR 97070",D-0180-2015
Class II,Lack of Assurance of Sterility,"DEXPANTHENOL 250MG/ML W/PRES.  (BENZALKONIUM CHL 0.01%), 10ML Vials, MEDAUS PHARMACY",D-1179-2016
Class II,Cross Contamination With Other Products: Oral care solutions were manufactured by a third party supplier on equipment shared with non-pharmaceutical products,"Toothette Oral Care Suction Toothbrushes with Perox-A-Mint solution. Contains 2 Suction Toothbrushes with sodium bicarbonate, 0.25 fl oz/7ml Perox-A-Mint solution. Sage Products, Inc., 3909 Three Oaks Road, Cary, IL 60013. Product Code 6570",D-0382-2018
Class II,Lack of Assurance of Sterility,"FentaNYL 500 mcg (2mcg/mL) and Ropivacaine HCL 250 mg (0.1%) added to 250 mL 0.9% Sodium Chloride Injection, Rx Only, Apollo Care, LLC, 3801 Mojave Ct., Suite 101, Columbia, MO 65202. NDC 71170-950-25",D-0646-2023
Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Belladonna Extract Powder active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",D-535-2015
Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Ibuprofen active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",D-727-2015
Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,NURTEC ODT (RIMEGEPANT) 75MG 8 BPK; NDC/UPC 72618-3000-2; RX; TABLETS FOR RAPID DISSOLUTION (NOT SUBLINGUAL),D-0451-2021
Class II,Lack of Assurance of Sterility,"L-GLUTATHIONE 100MG/ML (PF), 10 ML Vials,  MEDAUS PHARMACY",D-1198-2016
Class II,Subpotent Drug:The titratable iodine contained in the Povidone-Iodine prep pads  is below label claim of 0.85%.,"Medline Suture Removal Tray. Sterile.  Single use only.  Packaged in Mexico for Medline Industries, Inc., Mundelein, IL 60060",D-0264-2018
Class II,Lack of Assurance of Sterility; All lots of sterile products compounded by the pharmacy within expiry are subject to this recall. This recall is initiated due to concerns associated with quality control procedures observed during a recent FDA inspection.,"Quad Mix Injectable, 5 mL, Rx Only, The Compounding Center at Blue Ridge, 2601 Blue Ridge Rd, Raleigh, NC 27607.",D-404-2014
Class II,Lack of Assurance of Sterility and Stability Data does not Support Expiry: recent inspection observations associated with certain quality control procedures that present a risk to sterility and quality assurance.,"Glycerin 98.5% Opth. Solution, Health Innov Pharmacy, 295 Pinehurst Ave, Southern Pines, NC 28387, (910) 246-5155",D-1007-2015
Class II,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,"10 mcg/mL HYDROmorphone HCl and 0.075% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride, 250 mL in 250 mL Hospira LifeCare Bag, Service Code 2H8480, Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141, NDC 61553-480-50",D-1385-2016
Class II,Defective Container: blister packs not properly sealed resulting in tablets being loose in the carton.,"Sofosbuvir and Velpatasvir, 400 mg/100 mg tablets, 28 tablets: 2x14 blister cards, Rx Only, Manufactured for: Asegua Therapeutics LLC an affiliate of Gilead Sciences, Inc., Foster City, CA 94404, Made in Ireland, NDC# 72626-2701-1",D-0313-2025
Class II,Cross Contamination With Other Products: Oral care solutions were manufactured by a third party supplier on equipment shared with non-pharmaceutical products,"Q Care RX Oral Cleansing & Suctioning System with 0.12% Chlorhexidine Gluconate (CHG) Oral Rinse. Contains 1 Covered Yankauer and Y-Connector, 1 Untreated Suction Toothbrush packages, 1 Single dose bottle of 0.12% CHG Oral Rinse, 2 Suction Oral Swab packages with Perox-A-Mint, 1 Oropharyngeal Suction Catheter packages. Sage Products, Inc., 3909 Three Oaks Road, Cary, IL 60013. Product Code 9002  UPC 6 18029 83025 8",D-0409-2018
Class II,Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,"vasopressin 20 units added to 0.9% sodium chloride 100 mL*, 0.2 units/mL*, 100 mL per bag, Rx only, Central Admixture Pharmacy Services, Inc., 6580 Snowdrift Rd., Ste 100, Allentown, PA  18106, NDC 71285-9000-1.",D-0747-2023
Class II,CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,"Cardec DM Drops,  Decongestant, Antihistamine, Antitussive, 1 fl oz. bottle, OTC, Manufactured for: Macoven Pharmaceuticals, Magnolia, TX 77354 NDC 44183-550-30",D-521-2013
Class II,Lack of Assurance of Sterility,"Hydroxocobalamin 5000IU/mL Injection, Rx, Western Drug Inc. 106 E. Main Street, Springerville, Arizona 85938",D-0410-2016
Class II,Lack of Assurance Sterility: Firm is recalling various drug products due to a non-approved method of sterilization.,"Testosterone/Finasteride 60 mg/5 mg pellet Amber vial, Rx only, Partell Specialty Pharmacy, 5835 S. Eastern Ave. #101, Las Vegas, NV 89119 (702) 791-3800",D-0653-2018
Class II,GMP Deviation; A foreign stopper was observed during packaging of a lot of product.,"Levophed norepinephrine bitartrate, injection, USP, 4 mg /4 mL (1 mg/mL),Rx only,  Hospira, Inc. Lake Forest, IL --- NDC 0409-3375-04",D-0898-2017
Class II,cGMP violations noted during the firm's most recent inspection.,"SHEER DesenZ Desensitizing Treatment, Rx Only, Potassium Nitrate 12mg per film. CAO GROUP, INC, 4628 West Skyhawk Drive West Jordan, UT 84084. UPC: 8 72320 00072 1 NDC 1406000304",D-0291-2019
Class II,CGMP Deviations: Market complaints received for gritty texture (grainy),"Azelaic Acid Gel, 15%, 50 grams, For Topical Use Only, Rx only, Manufactured by: Glenmark Pharmaceuticals Limited Colvale-Bardez, Goa 403513, India, Manufactured for: Glenmark Pharmaceuticals Inc., USA, Mahwah, NJ 07430, NDC 68462-626-52",D-0662-2025
Class II,CGMP Deviations: products manufactured by contract manufacturer under conditions that could result in possible microbial contamination.,"AllergEase, Homeopathic Oral Spray, 1.38 fl. oz (41ml), Manufactured for Sprayology Gaithersburg. MD 20879. NDC 61096-0003-1",D-0111-2019
Class II,CGMP Deviations: Born Basic Anti Bac was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,"scent theory KEEP CLEAN Moisturizing Hand Sanitizer, 70% alcohol (Ethyl Alcohol 70%), 16.9 FL OZ/500 mL bottle, Distributed by Scent Theory Products, LLC New York, NY 10018. Made in Mexico, UPC 8 40038 21434 1",D-1580-2020
Class II,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,"Lipotropic 1.5ml PFS, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",D-181-2014
Class II,Lack of Assurance of Sterility,"Tri-Mix Papaverine/Phentolamine/Alprostadil 150 mg/5 mg/50 mcg a) Injectable NDC 69699-1332-05 b) (LYO) Powder NDC 69699-1332-05, Pharm D Solutions, Houston, Texas",D-0191-2019
Class II,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes.,"Renacidin Irrigation: 1000 ml,1120ml   Bladder Irrigation, 30 day expiration,",D-489-2013
Class II,Lack of Assurance of Sterility,"S-HYDROGEN PEROXIDE 3% (PF) 30ML glass vial, Red Mountain Compounding RX",D-0229-2020
Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,EZETIMIBE AND SIMVASTATIN TABLETS 10-10MG 30; NDC/UPC 68462-321-30; RX; TABLETS,D-0484-2021
Class II,Lack of Assurance of Sterility.,"Hydromorphone HCl 10 mg (0.2mg/ml) 50 mL syringes in 0.9% Sodium Chloride, Rx Only,  Banner Health Compounding Pharmacy 7300 W Detroit St Chandler, AZ 95226, NDC 7025001001.",D-0019-2018
Class II,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,"Double Strength PGE1 40mcg/ml, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",D-081-2014
Class II,"cGMP Deviations; during the production process, CLENZIderm M.D. Daily Foam Cleanser was filled into some bottles labeled as CLENZIderm M.D. Pore Therapy","CLENZIderm M.D. Acne Therapeutic System Normal to Oily Skin kit, Distributed by OMP, Inc., Long Beach, CA 90806, Kit is comprised of: Daily Care Foaming Cleanser (Salicylic Acid 2%) NDC 62032-111; Pore Therapy (Salicylic Acid 2%) NDC 62032-110 and Therapeutic Lotion (Benzoyl Peroxide 5%) NDC 562032-113). Product under recall is the Pore Therapy (Salicylic Acid 2%), NDC 62032-110.",D-916-2013
Class II,Lack of sterility assurance.,"Acetylcysteine Ophthalmic Solution, 100mg/ml, 10%, Rx only,  Promise Pharmacy Compounding Specialist, 31818 US Hwy 19N, Palm Harbor FL 34684.",D-0431-2019
Class II,Chemical Contamination: This recall has been initiated due to elevated levels of benzene that was discovered during post consume awareness with benzoyl peroxide products.,"edunn clarity, BP Treatment Cleanser 10% (Benzoyl Peroxide 10%), 7 oz (201g) Uptown Medi Spa, Phoenix, AZ.",D-0668-2025
Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,"Iron 100 with Vitamin C Tablets Dietary Supplement 100 Tablets NDC 60258-099-01 Distributed By: Cypress Pharmaceutical, Inc. 135 Industrial Blvd. Madison, MS 39110",D-0467-2021
Class II,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,"Minoxidil 10% 60ml, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",D-243-2014
Class II,Failed Dissolution Specifications: Stability results found the product did not meet the drug release dissolution specifications.,"Venlafaxine Hydrochloride Extended-Release Tablets, 37.5 mg, packaged in a) 30-count bottles (NDC 41616-760-83, UPC 3 41616 76083 5); and b) 90-count bottles (NDC 41616-760-81, UPC 3 41616 76081 1), Rx only, Distributed by: Caraco Pharmaceutical Laboratories, Ltd., 1150 Elijah McCoy Drive, Detroit, MI  48202; Manufactured at: Sun Pharmaceutical Ind. Ltd., Halol-Baroda Highway, Halol-389 350, Gujarat, India.",D-1284-2014
Class II,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,"HCG 11000u w/B-12, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",D-107-2014
Class II,Good Manufacturing Practices Deviations: The product has an Active Pharmaceutical Ingredient from an unapproved source.,"HydrOXYzine HCI Tablets USP 10 mg, 100 count bottles, Rx only. Mfd by KVK-TECH, INC, Newtown, PA 18940.  NDC #10702-010-01.",D-1030-2014
Class II,Failed Dissolution Specifications: failure of dissolution test observed at nine month time point.,"Metoprolol Succinate Extended-Release Tablets, USP, 50 mg, 30-count bottle, Rx only, Manufactured by: Wockhardt Limited, Mumbai, India; Distributed by: Wockhardt USA LLC., 20 Waterview Blvd., Parsippany, NJ  07054, USA; NDC 64679-735-09, UPC 3 64679 73509 1.",D-1300-2014
Class II,Lack of Assurance of Sterility,"Semaglutide, 5 mg/mL, pre-filled syringe, Thrive Health Solutions, 88 Inverness, Cir E, Suite A-204, Englewood, CO 80112",D-0480-2025
Class II,Lack of sterility assurance;All lots of sterile products compounded by the pharmacy that are within expiry were recalled due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,"HCG-20,000 U/2 mL Vial, Compounded Rx, Perry Drug Compounding Pharmacy, Overland Park, KS ---NDC 88888-2195-47",D-0272-2015
Class II,Lack of Processing Controls,"All spironolactone Products, Rx Only, Compounded by RELIABLE DRUG/RELIABLE COMPOUNDING PHARMACY, 801 Irving St., SAN FRANCISCO, CA 94122.",D-1098-2016
Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"Hyaluronic Acid Sodium 28 mg/ml + Lidocaine HCl 3 mg/ml Injection, ml Syringe, Sterile, Room Temperature, The Compounding Pharmacy of America, Knoxville, TN",D-1534-2015
Class II,Lack of Processing Controls.,Orkambi 100 mg/125 mg Tablets #112 NDC 51167-0700-02 28 days supply.,D-0751-2018
Class II,Lack of Assurance of Sterility,"GAC (Glutamine/Arginine/L-Carnitine) 25mg/100mg/250mg/mL, 30mL-vial, Refrigerate, Tailor Made Compounding",D-1203-2022
Class II,CGMP Deviations: products manufactured under conditions that could impact its product quality.,"Thayers Natural Remedies, Saline Nasal Spray, Allergy & Sinus Relief, Slippery Elm, 1.5 FL OZ (44 mL) bottle, Distributed By: Product Quest Manufacturing, LLC, 330 Carswell Ave., Daytona Beach, FL 32117, UPC 7 27510 00660 4.",D-0053-2019
Class II,"Labeling Incorrect Instructions:  This recall has been initiated because the Instructions for Use included in the Epi-Safe Kits for the Epi-Safe Syringe (and/or the Safety Lok Syringe in Model 8600-01120) recommend a midpoint dosage of epinephrine for children between 0 lbs. and 66 lbs. of 0.15mL that has not been approved by FDA for children. Reliance on the current IFU and/or use of the Epi-Safe Syringe as instructed may result in the administration of an inappropriate dosage of epinephrine to young children experiencing anaphylaxis, especially those under 33 lbs. Additionally the Epi Safe syringe does not have the correct markings to allow a health care provider to draw up the correct dosage for children under 33 kg.","Curaplex Epi Kit NOT FOR IV USE, #8600-01120, Epi-Safe Kit 8600-01 120 contains:2 Safety-LOK Syringe, TB, 1cc w/ needle, 25 ga x5/8 , 2 Vials of epinephrine, 1mg/1mL, 4 Alcohol prep pads, 2 Adhesive bandages, 1  x 3   1 Epi Generic Injection. Rx Only. Distributed by Sarnova HC, LLC s family of companies: Bound Tree Medical, LLC, Cardio Partners, Inc., Emergency Medical Products, Inc. & Tri-anim Health Services, Inc. 5000 Tuttle Crossing Blvd. Dublin, OH 43016",D-0386-2019
Class II,Lack of Assurance of Sterility,"DOCETAXEL 60 MG / 250 ml D5W IVPB; DOCETAXEL 71 MG/ 250 ML NS IVPB; DOCETAXEL 155 MG/ 250 ml NS IVPB; DOCETAXEL 110 mg / 250 ml NS IVPB; DOCETAXEL 150 MG / 250 ml NS IVPB; DOCETAXEL 137 mg / 250 ml 0.9% NACL IVPB; DOCETAXEL 130 MG/ 250 ml NS IVPB; DOCETAXEL 140 MG/ 250 ml NS IVPB; DOCETAXEL 144 MG/ 250 ML NS IVPB; DOCETAXEL 117 MG/ 250 ML NS IVPB; DOCETAXEL 30 mg / 250 ml D5W IVPB; DOCETAXEL 125 MG/ 250 ml NS IVPB; DOCETAXEL 135 MG / 250 ml NS IVPB, Rx Only, Infusion Options, Inc. 5924 13the Ave, Brooklyn, NY 11219-4934, 718-283-7233",D-1769-2019
Class II,Failed Dissolution Specification,"Metoprolol Succinate Extended-Release Tablets, USP 25 mg, Rx Only, 100 Tablets per bottle,  Manufactured by: Alkem Laboratories Ltd., Mumbai - 400 013, India, Distributed by: Ascend Laboratories, LLC, Parsippany NJ 07054, NDC 67877-590-01.",D-0169-2023
Class II,Lack of Assurance of Sterility; All lots of sterile products compounded by the pharmacy within expiry are subject to this recall. This recall is initiated due to concerns associated with quality control procedures observed during a recent FDA inspection.,"PGE 20 mcg/mL Injectable, 10 mL, and PGE 40 mcg/mL, 5 mL, Rx Only, The Compounding Center at Blue Ridge, 2601 Blue Ridge Rd, Raleigh, NC 27607.",D-402-2014
Class II,Failed Impurities/Degradation Specifications: High Out Of Specification degradation results.,"Posaconazole Delayed-Release Tablets, 100 mg, 60-count bottle, Rx Only, Manufactured for: Biocon Pharma Inc., Iselin, NJ  08830-3009; Manufactured by: Biocon Pharma Limited, Bengaluru, India - 560 099, NDC 70377-038-11.",D-0268-2023
Class II,"Labeling: Label Mixup: SILDENAFIL CITRATE, Tablet, 25 mg may have potentially been mislabeled as the following drug:  PHENobarbital/ HYOSCYAMINE/ ATROPINE/ SCOPOLAMINE, Tablet, 16.2 mg/0.1037 mg/0.0194 mg/0.0065 mg, NDC 66213042510, Pedigree: W003640, EXP: 6/25/2014.","SILDENAFIL CITRATE, Tablet, 25 mg, Rx only, Distributed by: AidaPak Service, LLC, NDC 00069420030.",D-804-2014
Class II,CGMP Deviations,"Karina Daily Moisturizer SPF 25, Octinoxate 7.5% and Zinc Oxide 7.0%, Net WT. 5 oz/ 141.7 g per tube, Dist. By: Beauty4Pros LLC, Palm Desert, CA 92211.  NDC: 35192-033-16, UPC 8 18204 02572 5",D-0191-2026
Class II,Lack of Processing Controls.,Copaxone 20 mg Injection PFS (30) NDC 68546-0317-30 30 days supply.,D-0766-2018
Class II,"Lack of Assurance of Sterility; potential for a defective syringe cap, resulting in a non-integral unit","HYDROmorphone HCl 10mg/50mL in 0.9% Sodium Chloride Injection, CII, Rx Only, 50 mL Single Dose Syringe, SCA Pharmaceuticals, 755 Rainbow Rd., Windsor, CT, 06095, barcode 70004030022",D-0215-2021
Class II,Lack of Assurance of Sterility,"Epoprostenol Sodium for Injection, 1.5 mg/vial, 10 mL vials, Rx only, Teva Pharmaceuticals USA, Inc. North Wales, PA 19454, NDC 0703-1995-01",D-0738-2021
Class II,cGMP Deviations for the manufacturing Firm (Accord Healthcare) after their inspection.,"Doxazosin Tablets, USP, 4 mg, 100-count bottle, Rx only, Manufactured: Accord Healthcare, Inc., Durham, NC 27703, NDC 68788-7149-1",D-0515-2023
Class II,Lack of Assurance of Sterility: Concerns with product sterility by the manufacturer of the eye wash irrigating solution.,"Advance Trauma Kit - Product Code 85-0742, 85-0746, 85-0745, 85-0639, 85-0744, 85-0744, 85-0741, North American Rescue",D-0178-2017
Class II,Microbial Contamination of Non-Sterile Products,"Clozapine Tablets USP, 25 mg, 100-count bottle (NDC 0093-4359-01), 500- count bottle (NDC 0093-4359-05), 100 Unit Dose Blisters per carton (NDC 0093-4359-93), Individual Blister Pack (NDC 0093-4359-19), Rx Only, Manufactured By: Teva Pharmaceutical Industries Ltd., Jerusalem, 9777600, Israel",D-0705-2017
Class II,Presence of Foreign Tablets: Presence of atenolol 25 mg tablet mixed into promethazine 25 mg tablet bottles.,"PROMETHAZINE HYDROCHLORIDE Tablets, USP, 25 mg, 100 Tablet Bottles, Rx Only.  Manufactured by: Cadila Healthcared Ltd., India.  Distributed by: Zydus Pharmaceuticals USA Inc., Pennington, NJ 08534. NDC: 68382-041-01",D-1342-2014
Class II,Lack of Assurance of Sterility: There are also CGMP Deviations.,"REVERSE DML LOTION (Ketoconazole 2%, Metronidazole 2%, sulfacetamide sodium 10%), Rx only, Synergy RX, 4901 Morena Blvd # 504-A San Diego, CA 92117 (855) 792-6676",D-0570-2017
Class II,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,"Metabolase Injection, compounded by Olympia Pharmacy, Orlando, FL",D-754-2013
Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Bovine Insulin active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",D-546-2015
Class II,CGMP Deviations: product held outside appropriate storage temperature conditions.,AMBI NRSHNG DAILY FACIAL MSTURZER 1.7 OZ distributed to specific Family Dollar Stores 04/30/2022 through 06/10/2022.,D-1432-2022
Class II,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,"Alphahydroxyprogesterone, 250mg, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",D-030-2014
Class II,Lack of assurance of sterility,"TRI-TEST 200 (CY50%-EN37.5%-PR12.5%) INJ #1 200MG/ML INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",D-0147-2022
Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"Hydromorphone 50 mg/ml + Fentanyl 3,000 mcg/ml + Bupivacaine 20 mg/ml Intrathecal Solution, Sterile-Preservative Free, The Compounding Pharmacy of America, Knoxville, TN",D-1675-2015
Class II,Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,"Cardioplegia Solution, Maintenance 4:1 Plasma-Lyte/Tromethamine, low potassium, packaged in 1000 mL per bag, Rx only, Central Admixture Pharmacy Services, Inc., Lehigh Valley, 6580 Snowdrift Road, Allentown, PA  18106, NDC 71285-0112-1.",D-0667-2023
Class II,Lack of Assurance of Sterility,"Oxytocin 10 Units added to Lactated Ringers in a 500 mL lntravia bag, Rx Only, Compounded by PHARMAKON Pharmaceuticals, Noblesville, IN 46060, NDC 45183-0764-03",D-1297-2016
Class II,Lack of Assurance of Sterility,"GLUTATHIONE 200MG/ML (MDV) INJECTION SOLN, 30 ML per vial, RXQ Compounding, 340 West State Street, Unit 9, Athens, OH 45701. NDC: 70731-0906-30",D-1663-2019
Class II,Recalled products were made using an active ingredient that was recalled by a supplier due to penicillin cross contamination.,"BIEST TD 80/20  (Estradiol (E2) Trit (Yellow)/Estriol USP Micronized (E3) : PROG (Progesterone USP Micronized) : DHEA (Dehydroepiandrosterone Micronized) IN VERSABASE W/V (weight/volume) 2.5 : 25 :1.25MG/ML Transdermal cream, dispensed in 10 mL prefilled, amber syringes, Rx only, The Compounder, 340 Marshall Avenue Unit 100, Aurora, IL 60506.",D-0202-2016
Class II,cGMP deviations: Temperature abuse,"Cefazolin for injection USP, and Dextrose Injection, USP, 2 g, 50 mL duplex container, Rx only, MFG: B. Braun Medical Inc., NDC 0264-3105-11",D-1118-2022
Class II,Lack of Processing Controls,"Papaverine/Phentolamine/Alprostadil 30 mg/2 mg/30 mcg/mL Injectable, 2.5 mL Vial, Rx only, Compounded by Wise Pharmacy, Littleton, CO 80123.",D-1575-2019
Class II,Lack of Assurance Sterility: Firm is recalling various drug products due to a non-approved method of sterilization.,"TM #4 (ALP 20/PAPAV/PHENT 2), 3 mL amber vial, Rx only, Partell Specialty Pharmacy, 5835 S. Eastern Ave. #101, Las Vegas, NV 89119 (702) 791-3800",D-0658-2018
Class II,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,"RIVASTIGMINE TRANSDERMAL SYSTEM, Delivers 4.6 mg/24 hours, 30 systems per box, Rx Only, Distributed by: Alvogen, Inc., Morristown, NJ 07960.  NDC 47781-304-03",D-0196-2024
Class II,CGMP Deviations: Products manufactured with an ingredient that exceed the benzene levels allowed in drug products.,"screamin' hot (capsaicin) Pain Relieving Gel, 0.03%, packaged in a) 2 OZ (57g) tubes, UPC 7 50263 80072 4; b) 5 oz. (141g) tubes, UPC 7 50263 80007 6; and c) 16 oz. (454g) bottles, UPC 7 50263 80076 2; MFD FOR: Toast Products, 400 Sproul Street, Pittsburgh, PA 15136; NDC 52099-8005.",D-0834-2018
